Year,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2020,Payton Dastrup, SF ,0.9260,oregon state,null,Pacific-12,NULL
2020,Reggie Chaney, PF ,0.9240,arkansas,houston,SEC,American Athletic
2020,Seth Towns, SF ,0.9183,harvard,ohio state,Ivy,Big Ten
2020,Makhel Mitchell, PF ,0.9153,maryland,rhode island,Big Ten,Atlantic 10
2020,Samba Diallo, SF ,0.9145,massachusetts,manhattan,Atlantic 10,MAAC
2020,Mayan Kiir, PF ,0.9035,south florida,new mexico state,American Athletic,WAC
2020,Rapolas Ivanauskas, PF ,0.9032,colgate,cincinnati,Patriot League,American Athletic
2020,Jalen Johnson, SF ,0.9024,tennessee,wake forest,SEC,ACC
2020,Khalid Thomas, PF ,0.9000,arizona state,portland state,Pacific-12,Big Sky
2020,Deshawn Corprew, SF ,0.8939,texas tech,null,Big 12,NULL
2020,Kristian Sjolund, SF ,0.8916,georgia tech,utep,ACC,Conference USA
2020,Trey Jemison, PF ,0.8907,clemson,alabama birmingham,ACC,Conference USA
2020,Dana Tate, SF ,0.8896,rhode island,siena,Atlantic 10,MAAC
2020,Luke Anderson, PF ,0.8893,iowa state,south florida,Big 12,American Athletic
2020,Dontarius James, SF ,0.8876,xavier,jacksonville,Big East,Atlantic Sun
2020,Ryan Boyce, SF ,0.8857,georgia state,null,Sun Belt,NULL
2020,Ryan Boyce, SF ,0.8857,memphis,georgia state,American Athletic,Sun Belt
2020,Brandon Huffman I, PF ,0.8849,north carolina,jacksonville state,ACC,Ohio Valley
2020,Jeriah Horne, PF ,0.8803,nebraska,colorado,Big Ten,Pacific-12
2020,Jeriah Horne, SF ,0.8803,tulsa,null,American Athletic,NULL
2020,Yor Anei, PF ,0.8800,oklahoma state,smu,Big 12,American Athletic
2020,Zach Kent, PF ,0.8795,tennessee,delaware state,SEC,MEAC
2020,Antavion Collum, SF ,0.8785,ole miss,null,SEC,NULL
2020,PJ Horne, PF ,0.8784,virginia tech,georgia,ACC,SEC
2020,Goanar Mar, SF ,0.8769,george mason,null,Atlantic 10,NULL
2020,Marcedus Leech, SF ,0.8764,iowa state,null,Big 12,NULL
2020,Yavuz Gultekin, PF ,0.8760,texas am,san diego,SEC,West Coast
2020,Andre Adams, SF ,0.8760,southern utah,boston college,Big Sky,ACC
2020,Kevin Marfo, SF ,0.8755,quinnipiac,texas am,MAAC,SEC
2020,Ed Chang, SF ,0.8752,san diego state,missouri,Mountain West,SEC
2020,Jordan Bruner, SF ,0.8751,yale,alabama,Ivy,SEC
