Year,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2020,Peyton Dixon, RB ,0.8204,fresno state,uc davis,Mountain West,Big Sky
2020,Tim Jordan, RB ,0.8179,tennessee,null,SEC,NULL
2020,Realus George, FB ,0.8150,miami,null,ACC,NULL
2020,Josh Samuel, RB ,0.8146,western kentucky,jacksonville state,Conference USA,Ohio Valley
2020,Gino Appleberry, RB ,0.8115,western kentucky,chattanooga,Conference USA,Southern
2020,Shane Simpson, RB ,0.8111,towson,virginia,CAA,ACC
2020,Elijah Barnwell, RB ,0.8073,rutgers,maine,Big Ten,CAA
2020,Christian Malloy, FB ,0.8065,georgia tech,coastal carolina,ACC,Sun Belt
2020,Willie Matthews, RB ,0.8014,kansas,null,Big 12,NULL
2020,Kevin Brown, RB ,0.7998,massachusetts,rhode island,FBS Independents,CAA
2020,Tru Wilson, RB ,0.7879,michigan,northern colorado,Big Ten,Big Sky
2020,Dae Williams, RB ,0.7844,louisville,null,ACC,NULL
2020,Jaxson Kincaide, RB ,0.7832,nevada,western michigan,Mountain West,Mid-American
2020,Jakeem Patrick, RB ,0.7803,air force,null,Mountain West,NULL
2020,DeUnte Chatman, RB ,0.7800,arkansas state,null,Sun Belt,NULL
2020,Malcolm Magee Jr, RB ,0.7798,colorado state,null,Mountain West,NULL
2020,Devanier Floyd, RB ,0.7798,akron,null,Mid-American,NULL
2020,Dusty Mitchell, RB ,0.7797,ucla,null,Pacific-12,NULL
2020,Jabir Frye, RB ,0.7790,troy,null,Sun Belt,NULL
2020,S.J. Fehoko, RB ,0.7783,utah state,null,Mountain West,NULL
2020,Rahsul Faison, RB ,0.7781,marshall,null,Conference USA,NULL
2020,DeAndre Marcus, RB ,0.7742,louisiana tech,null,Conference USA,NULL
2020,Markice Hurt Jr., RB ,0.7716,ball state,grand valley state,Mid-American,NULL
2020,Antonio Robinson, RB ,0.7698,coastal carolina,aamu,Sun Belt,SWAC
2020,Craig Elmore, RB ,0.7698,kent state,null,Mid-American,NULL
2020,Devon Starling, RB ,0.7680,memphis,tennessee state,American Athletic,Ohio Valley
2020,Jamel Brown, RB ,0.7667,charlotte,null,Conference USA,NULL
2020,Shawndarrius Phillips, RB ,0.7593,florida international,null,Conference USA,NULL
2020,Josh Foley, APB ,0.7575,new mexico state,new mexico,FBS Independents,Mountain West
2020,Kayin White, RB ,0.7531,louisiana monroe,null,Sun Belt,NULL
2020,Damontay Rhem, RB ,0.7397,north carolina state,null,ACC,NULL
2020,Josh Burrell, FB ,0.6997,houston,null,American Athletic,NULL
2020,Jah-maine Martin, RB ,0.6997,coastal carolina,ncat,Sun Belt,MEAC
2020,Nigel Brobbey, RB ,NULL,texas am,null,SEC,NULL
2020,Marquis Brown, RB ,NULL,air force,texas state,Mountain West,Sun Belt
2020,Bryce Coleman, RB ,NULL,arizona,null,Pacific-12,NULL
2020,Andrew Cunningham, RB ,NULL,georgia southern,null,Sun Belt,NULL
2020,Jared Daniels, RB ,NULL,georgia southern,alabama state,Sun Belt,SWAC
2020,Jewan Davis, APB ,NULL,charlotte,null,Conference USA,NULL
2020,Kriston Davis, RB ,NULL,utep,null,Conference USA,NULL
2020,Joseph Early, RB ,NULL,marshall,null,Conference USA,NULL
2020,Anthony Grant, RB ,NULL,florida state,null,ACC,NULL
2020,Alec Harris, RB ,NULL,texas state,null,Sun Belt,NULL
2020,Kenroy Higgins, RB ,NULL,ucla,null,Pacific-12,NULL
