Year,ID,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2019,46083691,Nic Thomas, SG ,NULL,norfolk state,tulane,MEAC,American Athletic
2019,46054108,Ricky Torres, PG ,NULL,wichita state,illinois state,American Athletic,Missouri Valley
2019,46083657,Stanley Umude, SG ,NULL,south dakota,arkansas,Summit,SEC
2019,46036545,Brandon Wade, PG ,NULL,duquesne,michigan,Atlantic 10,Big Ten
2019,46046701,Myles Warren, PG ,NULL,fresno state,NULL,Mountain West,NULL
2019,46040559,Michael Weathers, PG ,NULL,oklahoma state,nicholls state,Big 12,Southland
2019,46083944,Dujuanta Weaver, PG ,NULL,eastern kentucky,NULL,Ohio Valley,NULL
2019,46083323,Eric Williams Jr., SG ,NULL,duquesne,oregon,Atlantic 10,Pacific-12
2019,83938,Jordan Brown, PF ,0.9933,nevada,arizona,Mountain West,Pacific-12
2019,94242,Emmanuel Akot, SF ,0.9913,arizona,boise state,Pacific-12,Mountain West
2019,75462,Joey Hauser, SF ,0.9817,marquette,michigan state,Big East,Big Ten
2019,84993,Khavon Moore, SF ,0.9811,texas tech,clemson,Big 12,ACC
2019,34102,Tevin Mack, SF ,0.9781,alabama,clemson,SEC,ACC
2019,86005,Carte'Are Gordon, PF ,0.9731,saint louis,depaul,Atlantic 10,Big East
2019,86451,Miles Norris, PF ,0.9730,oregon,uc santa barbara,Pacific-12,Big West
2019,33441,Moustapha Diagne, PF ,0.9725,western kentucky,NULL,Conference USA,NULL
2019,86004,J'Raan Brooks, PF ,0.9693,usc,washington,Pacific-12,Pacific-12
2019,46035660,Kaden Archie, SF ,0.9645,tcu,utep,Big 12,Conference USA
2019,58642,Keith Stone, SF ,0.9621,florida,miami,SEC,ACC
2019,31242,Sam Hauser, SF ,0.9607,marquette,virginia,Big East,ACC
2019,81394,Jaedon LeDee, SF ,0.9584,ohio state,tcu,Big Ten,Big 12
2019,90622,Chase Johnson, PF ,0.9579,florida,dayton,SEC,Atlantic 10
2019,42996,Troy Baxter, SF ,0.9515,florida gulf coast,morgan state,Atlantic Sun,MEAC
2019,79487,DeAundrae Ballard, SF ,0.9445,florida,south alabama,SEC,Sun Belt
2019,46054652,Omar Thielemans, SF ,0.9418,arizona,wisconsin milwaukee,Pacific-12,Horizon
2019,34531,Matt Ryan, SF ,0.9387,vanderbilt,chattanooga,SEC,Southern
2019,26976,Marcus Sheffield, SF ,0.9344,stanford,elon,Pacific-12,CAA
2019,46035783,Ian Steere, PF ,0.9339,north carolina state,saint johns,ACC,Big East
2019,34629,Sedee Keita, SF ,0.9330,saint johns,florida international,Big East,Conference USA
2019,46036441,Cheikh Mbacke Diong, SF ,0.9321,unlv,NULL,Mountain West,NULL
2019,21555,Aaron Falzon, PF ,0.9303,northwestern,quinnipiac,Big Ten,MAAC
2019,46038860,Shakur Juiston, SF ,0.9300,unlv,oregon,Mountain West,Pacific-12
2019,45572468,Jake Forrester, PF ,0.9291,indiana,temple,Big Ten,American Athletic
2019,31305,Kerry Blackshear Jr., PF ,0.9270,virginia tech,florida,ACC,SEC
2019,39080,Isaiah Stokes, PF ,0.9262,florida,memphis,SEC,American Athletic
2019,86453,Abu Kigab, SF ,0.9157,oregon,boise state,Pacific-12,Mountain West
2019,46035751,Clifton Moore, PF ,0.9095,la salle,la salle,Atlantic 10,Atlantic 10
2019,81140,Dylan Painter, SF ,0.9083,villanova,delaware,Big East,CAA
2019,46049959,George Maslennikov, PF ,0.9052,depaul,NULL,Big East,NULL
2019,75132,Cameron Lard, PF ,0.9037,iowa state,NULL,Big 12,NULL
2019,31471,Alex Illikainen, PF ,0.9034,wisconsin,NULL,Big Ten,NULL
2019,93691,Justice Sueing, PF ,0.8985,california,ohio state,Pacific-12,Big Ten
2019,45572601,Taylor Currie, PF ,0.8928,wisconsin,NULL,Big Ten,NULL
2019,89054,Cheickna Dembele, SF ,0.8865,unlv,NULL,Mountain West,NULL
2019,87936,Malik William, PF ,0.8860,clemson,NULL,ACC,NULL
2019,86307,Grayson Carter, PF ,0.8840,georgetown,NULL,Big East,NULL
2019,86472,Andrew Gordon, PF ,0.8839,west virginia,louisiana tech,Big 12,Conference USA
2019,46041527,Jaqwan McCauley, SF ,0.8800,north dakota,NULL,Summit,NULL
2019,46046896,LaQuill Hardnett, SF ,0.8800,cincinnati,buffalo,American Athletic,Mid-American
2019,75634,Andre Rafus, PF ,0.8783,eastern michigan,NULL,Mid-American,NULL
2019,46041319,Moses Wood, SF ,0.8775,tulane,unlv,American Athletic,Mountain West
2019,22190,Tim Delaney, PF ,0.8761,villanova,NULL,Big East,NULL
2019,91196,Sean Mobley, PF ,0.8756,virginia commonwealth,NULL,Atlantic 10,NULL
2019,86460,Antwan Walker, SF ,0.8752,georgetown,rhode island,Big East,Atlantic 10
2019,59822,Tervell Beck, SF ,0.8746,unlv,cleveland state,Mountain West,Horizon
2019,45573339,Malik Ondigo, PF ,0.8741,texas tech,rice,Big 12,Conference USA
2019,34994,Elijah Burns, PF ,0.8736,notre dame,siena,ACC,MAAC
2019,92766,Donnie Tillman, PF ,0.8726,utah,unlv,Pacific-12,Mountain West
2019,45573219,Frankie Policelli, SF ,0.8723,dayton,stony brook,Atlantic 10,America East
2019,92331,Rodgerick Brown, SF ,0.8723,wichita state,NULL,American Athletic,NULL
2019,81935,Kevin Easley, SF ,0.8710,chattanooga,tcu,Southern,Big 12
2019,93854,Marco Anthony, PF ,0.8707,virginia,NULL,ACC,NULL
2019,46036567,Wesley Harris, PF ,0.8700,west virginia,alabama state,Big 12,SWAC
2019,19717,Kejuan Johnson-Alls, SF ,0.8700,canisius,NULL,MAAC,NULL
2019,93875,TJ Massenburg, SF ,0.8700,middle tennessee state,NULL,Conference USA,NULL
2019,46049211,Vin Baker Jr., PF ,0.8700,boston college,wisconsin milwaukee,ACC,Horizon
2019,91017,Jacob Eyman, PF ,0.8700,seattle,NULL,WAC,NULL
2019,46035638,Shamiel Stevenson, SF ,0.8681,pittsburgh,nebraska,ACC,Big Ten
2019,94723,Duncan Demuth, PF ,0.8678,oklahoma state,vermont,Big 12,America East
2019,45572398,JoJo Toppin, PF ,0.8678,georgia,georgia state,SEC,Sun Belt
2019,46040933,Maurice Calloo, PF ,0.8678,oklahoma state,cleveland state,Big 12,Horizon
2019,85148,Matt Freeman, SF ,0.8674,oklahoma,uc santa barbara,Big 12,Big West
2019,92181,Wyatt Lowell, PF ,0.8664,utah valley,byu,WAC,West Coast
2019,34104,Roman Davis, SF ,0.8664,california,NULL,Pacific-12,NULL
2019,24243,Brandon Hutton, SF ,0.8652,northwestern state,NULL,Southland,NULL
2019,62532,Derrick Walker, PF ,0.8652,tennessee,nebraska,SEC,Big Ten
2019,94492,Warren Washington, PF ,0.8639,oregon state,nevada,Pacific-12,Mountain West
2019,22383,Ben Coupet, SF ,0.8638,unlv,NULL,Mountain West,NULL
2019,76114,Melo Eggleston, SF ,0.8637,wake forest,arkansas state,ACC,Sun Belt
2019,79583,Trace Young, PF ,0.8616,wyoming,NULL,Mountain West,NULL
2019,79619,Victor Enoh, PF ,0.8616,memphis,marist,American Athletic,MAAC
2019,78148,Christian Negron, SF ,0.8616,loyola,grand valley state,Missouri Valley,NULL
2019,36404,Isiah Jasey, PF ,0.8616,texas am,smu,SEC,American Athletic
2019,29884,Jonathan Laurent, SF ,0.8610,massachusetts,oklahoma state,Atlantic 10,Big 12
2019,25818,Isaiah Moss, SF ,0.8550,iowa,kansas,Big Ten,Big 12
2019,31586,K.J. Santos, SF ,0.8544,missouri,uic,SEC,Horizon
2019,93551,John Walker III, SF ,0.8496,texas am,texas southern,SEC,SWAC
2019,4207,James Gordon, SF ,0.8448,toledo,NULL,Mid-American,NULL
2019,81329,Devonte Patterson, SF ,0.8435,pvamu,NULL,SWAC,NULL
2019,45573150,Arinze Chidom, SF ,0.8400,washington state,uc riverside,Pacific-12,Big West
2019,27332,Sylvester Ogbonda, PF ,0.8385,georgia tech,ohio,ACC,Mid-American
2019,46036497,Adrease Jackson, PF ,0.8333,dartmouth,northern arizona,Ivy,Big Sky
2019,46044662,Vitaliy Shibel, SF ,0.8333,arizona state,unlv,Pacific-12,Mountain West
2019,91431,Anthony Duruji, SF ,0.8333,louisiana tech,florida,Conference USA,SEC
2019,34612,Eric Hamilton, SF ,0.8304,uncg,NULL,Southern,NULL
2019,46049033,Austin Trice, PF ,0.8278,kansas state,portland state,Big 12,Big Sky
2019,24447,John Carlos-Reyes, PF ,0.8213,boston college,nevada,ACC,Mountain West
2019,90323,Abayomi Iyiola, PF ,0.8208,stetson,arkansas,Atlantic Sun,SEC
2019,46046889,Josh Mballa, PF ,0.8200,texas tech,buffalo,Big 12,Mid-American
2019,75538,Vincent Eze, PF ,0.8163,maine,fairfield,America East,MAAC
2019,34958,Jeantal Cylla, SF ,0.8112,florida atlantic,NULL,Conference USA,NULL
2019,34958,Jeantal Cylla, SF ,0.8112,uncw,arkansas,CAA,SEC
2019,46044182,Peter Hewitt, PF ,0.7667,tulsa,NULL,American Athletic,NULL
2019,46043695,Ian Carter, PF ,0.7667,dartmouth,NULL,Ivy,NULL
2019,46035614,Ra Kpedi, SF ,0.7667,vermont,NULL,America East,NULL
2019,18568,Tashombe Riley, SF ,0.7400,south carolina state,NULL,MEAC,NULL
2019,64808,Emmanuel Olojakpoke, PF ,0.7000,akron,utah valley,Mid-American,WAC
2019,46040901,Justin Whatley, PF ,0.7000,east carolina,nccu,American Athletic,MEAC
2019,46053502,Ibrahim Ali, PF ,NULL,arkansas,tulane,SEC,American Athletic
2019,46035811,Keve Aluma, SF ,NULL,wofford,virginia tech,Southern,ACC
2019,46082986,Pat Andree, PF ,NULL,lehigh,north carolina state,Patriot League,ACC
2019,46040835,Mladen Armus, PF ,NULL,etsu,boise state,Southern,Mountain West
2019,46076661,John Brown, PF ,NULL,texas am,NULL,SEC,NULL
