Year,ID,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2020,46049460,Jason Douglas-Stanley, SG ,NULL,george mason,NULL,Atlantic 10,NULL
2020,46083730,Sean East, PG ,NULL,massachusetts,bradley,Atlantic 10,Missouri Valley
2020,46100182,Augustine Ene, SG ,NULL,uiw,NULL,Southland,NULL
2020,46035364,Michael Ertel, PG ,NULL,louisiana monroe,alabama birmingham,Sun Belt,Conference USA
2020,46100429,Aaron Estrada, SG ,NULL,saint peters,oregon,MAAC,Pacific-12
2020,46100687,Ferron Flavors, SG ,NULL,oklahoma state,NULL,Big 12,NULL
2020,46100788,Michael Flowers, SG ,NULL,western michigan,south alabama,Mid-American,Sun Belt
2020,46055851,Stephan Gabriel, SG ,NULL,bradley,NULL,Missouri Valley,NULL
2020,46101798,Andrew Garcia, SG ,NULL,stony brook,georgia,America East,SEC
2020,46100917,Umoja Gibson, PG ,NULL,north texas,oklahoma,Conference USA,Big 12
2020,46100704,Ty Gordon, PG ,NULL,troy,NULL,Sun Belt,NULL
2020,46099743,Jacob Grandison, SG ,NULL,holy cross,illinois,Patriot League,Big Ten
2020,46046861,Jay Green, PG ,NULL,unlv,NULL,Mountain West,NULL
2020,46101054,Elijah Harkless, PG ,NULL,cal state northridge,oklahoma,Big West,Big 12
2020,46047841,Chris Herren Jr., SG ,NULL,boston college,san diego,ACC,West Coast
2020,93632,Bo Hodges, PG ,NULL,etsu,butler,Southern,Big East
2020,46100321,Curtis Holland III, SG ,NULL,high point,towson,Big South,CAA
2020,72014,Cameron Hunter, PG ,NULL,north dakota state,NULL,Summit,NULL
2020,46099744,Austin Hutcherson, SG ,NULL,illinois,NULL,Big Ten,NULL
2020,46084689,Christian Jackson, SG ,NULL,massachusetts,NULL,Atlantic 10,NULL
2020,46100689,Nate Johnson, SG ,NULL,gardner webb,xavier,Big South,Big East
2020,46101027,Kevin Johnson, PG ,NULL,nicholls state,NULL,Southland,NULL
2020,46050557,Chase Johnston, SG ,NULL,ipfw,NULL,Summit,NULL
2020,46100535,Carlik Jones, PG ,NULL,radford,louisville,Big South,ACC
2020,89888,Elijah Jordan, PG ,NULL,new hampshire,NULL,America East,NULL
2020,46102963,Dave Kasanganay, SG ,NULL,navy,east carolina,Patriot League,American Athletic
2020,46100323,Rich Kelly, PG ,NULL,quinnipiac,boston college,MAAC,ACC
2020,46101047,Justin Kier, SG ,NULL,george mason,georgia,Atlantic 10,SEC
2020,46100536,Teyvion Kirk, SG ,NULL,colorado state,uic,Mountain West,Horizon
2020,46040564,Peter Kiss, PG ,NULL,rutgers,bryant,Big Ten,Northeast
2020,46055235,Lucas Kroft, SG ,NULL,ball state,NULL,Mid-American,NULL
2020,46103176,Adam Kunkel, SG ,NULL,belmont,xavier,Ohio Valley,Big East
2020,45573378,Joseph Lanzi, SG ,NULL,denver,cofc,Summit,NULL
2020,46100265,Kurk Lee, PG ,NULL,drexel,NULL,CAA,NULL
2020,46055860,Drew Lowder, PG ,NULL,holy cross,eastern michigan,Patriot League,Mid-American
2020,45573157,Traveon Maddox Jr., SG ,NULL,oakland,cal state fullerton,Horizon,Big West
2020,87507,Richardson Maitre, PG ,NULL,florida atlantic,samford,Conference USA,Southern
2020,46037840,Malik Martin, CG ,NULL,charlotte,rhode island,Conference USA,Atlantic 10
2020,46100285,Chris Martin, PG ,NULL,presbyterian,coppin state,Big South,MEAC
2020,46052591,Avery Martinez, SG ,NULL,cal state northridge,NULL,Big West,NULL
2020,46101342,Courvoisier McCauley, SG ,NULL,depaul,NULL,Big East,NULL
2020,45572503,Mario McKinney, SG ,NULL,missouri,NULL,SEC,NULL
2020,34633,Randy Miller, PG ,NULL,nccu,indiana state,MEAC,Missouri Valley
2020,46054943,Franco Miller Jr., PG ,NULL,ole miss,florida gulf coast,SEC,Atlantic Sun
2020,75262,Charles Minlend, PG ,NULL,louisville,NULL,ACC,NULL
2020,46055857,Donavan Moore, SG ,NULL,toledo,NULL,Mid-American,NULL
2020,46100192,Vado Morse, PG ,NULL,mount st marys,james madison,Northeast,CAA
2020,46040054,Trey Murphy, SG ,NULL,rice,virginia,Conference USA,ACC
2020,46100181,Dwight Murray Jr., PG ,NULL,uiw,rider,Southland,MAAC
2020,46101028,Ja'Cor Nelson, SG ,NULL,campbell,NULL,Big South,NULL
2020,45572811,Elijah Olaniyi, CG ,NULL,stony brook,miami,America East,ACC
2020,46035570,Myles Parker, SG ,NULL,auburn,montana,SEC,Big Sky
2020,46100703,Deshon Parker, SG ,NULL,james madison,appalachian state,CAA,Sun Belt
2020,46045428,Brian Patrick, SG ,NULL,depaul,NULL,Big East,NULL
2020,93856,Jose Perez, SG ,NULL,gardner webb,marquette,Big South,Big East
2020,46101089,Abel Porter, PG ,NULL,utah state,ohio state,Mountain West,Big Ten
2020,46055547,Joe Pridgen, SG ,NULL,holy cross,uncw,Patriot League,CAA
2020,46058088,Trevon Reddish, SG ,NULL,cofc,NULL,NULL,NULL
2020,46047922,Cooper Robb, PG ,NULL,charlotte,eastern kentucky,Conference USA,Ohio Valley
2020,46100553,Anthony Roberts, SG ,NULL,kent state,saint bonaventure,Mid-American,Atlantic 10
2020,46100390,Jacoby Ross, PG ,NULL,alabama state,alcorn state,SWAC,SWAC
2020,46097773,Monty Scott, SG ,NULL,temple,portland state,American Athletic,Big Sky
2020,46100760,Sam Sessoms, PG ,NULL,binghamton,penn state,America East,Big Ten
2020,46040809,Kody Shubert, PG ,NULL,presbyterian,NULL,Big South,NULL
2020,46041249,Nike Sibande, SG ,NULL,miami ohio,pittsburgh,Mid-American,ACC
2020,46047706,Kevin Simon, PG ,NULL,troy,bethune cookman,Sun Belt,MEAC
2020,31922,Mike Smith, PG ,NULL,columbia,michigan,Ivy,Big Ten
2020,46080901,Carter Sonneborn, SG ,NULL,washington state,NULL,Pacific-12,NULL
2020,46035880,Caleb Starks, PG ,NULL,lsu,NULL,SEC,NULL
2020,46100628,Jalen Tate, SG ,NULL,northern kentucky,arkansas,Horizon,SEC
2020,46100180,Morgan Taylor, SG ,NULL,uiw,NULL,Southland,NULL
2020,46035947,Calvin Temple, PG ,NULL,louisiana,jackson state,Sun Belt,SWAC
2020,46035794,JC Tharrington, PG ,NULL,appalachian state,NULL,Sun Belt,NULL
